Country,Year,Region,Type,Energy consumption (in Exajoules)
Other Asia Pacific,1998,Asia Pacific,Biofuel,0.0
Canada,1999,North America,Biofuel,0.0051874242424242425
Mexico,1999,North America,Biofuel,0.0
US,1999,North America,Biofuel,0.11623484848484847
Argentina,1999,S. & Cent. America,Biofuel,0.0
Brazil,1999,S. & Cent. America,Biofuel,0.28463126710536
Colombia,1999,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1999,S. & Cent. America,Biofuel,0.03759576316
Austria,1999,Europe ,Biofuel,0.000660715073421662
Belgium,1999,Europe ,Biofuel,0.0
Finland,1999,Europe ,Biofuel,0.0
France,1999,Europe ,Biofuel,0.010989086871256631
Germany,1999,Europe ,Biofuel,0.00480934127636264
Italy,1999,Europe ,Biofuel,0.0
Netherlands,1999,Europe ,Biofuel,0.0
Poland,1999,Europe ,Biofuel,0.0
Portugal,1999,Europe ,Biofuel,0.0
Spain,1999,Europe ,Biofuel,0.0
Sweden,1999,Europe ,Biofuel,0.0
United Kingdom,1999,Europe ,Biofuel,0.0
Other Europe,1999,Europe ,Biofuel,0.0018393247166844711
CIS,1999,CIS,Biofuel,0.0
Middle East,1999,Middle East,Biofuel,0.0
Africa,1999,Africa,Biofuel,0.0
Australia,1999,Asia Pacific,Biofuel,0.0
China,1999,Asia Pacific,Biofuel,0.0
India,1999,Asia Pacific,Biofuel,0.0
Indonesia,1999,Asia Pacific,Biofuel,0.0
South Korea,1999,Asia Pacific,Biofuel,0.0
Thailand,1999,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1999,Asia Pacific,Biofuel,0.0
Canada,2000,North America,Biofuel,0.00557318181818182
Mexico,2000,North America,Biofuel,0.0032701629581918497
US,2000,North America,Biofuel,0.1332115656565657
Argentina,2000,S. & Cent. America,Biofuel,0.0
Brazil,2000,S. & Cent. America,Biofuel,0.24367912604658
Colombia,2000,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,2000,S. & Cent. America,Biofuel,0.03754302292
Austria,2000,Europe ,Biofuel,0.0007126072972234084
Belgium,2000,Europe ,Biofuel,0.0
Finland,2000,Europe ,Biofuel,0.0
France,2000,Europe ,Biofuel,0.013141332375602392
Germany,2000,Europe ,Biofuel,0.009249348603017555
Italy,2000,Europe ,Biofuel,0.0
Netherlands,2000,Europe ,Biofuel,0.0
Poland,2000,Europe ,Biofuel,0.0
Portugal,2000,Europe ,Biofuel,0.0
Spain,2000,Europe ,Biofuel,0.002971001538714668
Sweden,2000,Europe ,Biofuel,0.0
United Kingdom,2000,Europe ,Biofuel,0.0
Other Europe,2000,Europe ,Biofuel,0.0025038162256851328
CIS,2000,CIS,Biofuel,0.0
Middle East,2000,Middle East,Biofuel,0.0
Africa,2000,Africa,Biofuel,0.0
Australia,2000,Asia Pacific,Biofuel,0.0
China,2000,Asia Pacific,Biofuel,0.0
India,2000,Asia Pacific,Biofuel,0.0
Indonesia,2000,Asia Pacific,Biofuel,0.0
South Korea,2000,Asia Pacific,Biofuel,0.0
Thailand,2000,Asia Pacific,Biofuel,0.0
Other Asia Pacific,2000,Asia Pacific,Biofuel,0.0
Canada,2001,North America,Biofuel,0.005557954545454546
Mexico,2001,North America,Biofuel,0.0033306059573991673
US,2001,North America,Biofuel,0.14152262821139258
Argentina,2001,S. & Cent. America,Biofuel,0.0
Brazil,2001,S. & Cent. America,Biofuel,0.2184772115220484
Colombia,2001,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,2001,S. & Cent. America,Biofuel,0.035903203239999994
Austria,2001,Europe ,Biofuel,0.0008174637870485775
Belgium,2001,Europe ,Biofuel,0.0
Finland,2001,Europe ,Biofuel,0.0
France,2001,Europe ,Biofuel,0.013321797794708604
Germany,2001,Europe ,Biofuel,0.012949357171222451
Italy,2001,Europe ,Biofuel,0.0
Netherlands,2001,Europe ,Biofuel,0.0
Poland,2001,Europe ,Biofuel,0.0
Portugal,2001,Europe ,Biofuel,0.0
Spain,2001,Europe ,Biofuel,0.00295849708851124
Sweden,2001,Europe ,Biofuel,0.0
United Kingdom,2001,Europe ,Biofuel,0.0
Other Europe,2001,Europe ,Biofuel,0.0031115070168219365
CIS,2001,CIS,Biofuel,0.0
